Sayol_name,Dataset_sp,Archipelago,Order,Family,Genus,Mass,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipp.s.Distance,Tail.Length,Aquatic_species,Aquatic_rationale,Imputation notes
Prosobonia leucoptera,Prosobonia_leucoptera,Society,CHARADRIIFORMES,Scolopacidae,Prosobonia,29.74,20,12.79,2.25,3.07,29,112,41.68,54,TRUE,Unknown. Inhabited mountain streams in the interior of Tahiti. This is very different from the only extant species in the genus (which is coastal). Depends on whether small streams are enough to classify a species as riverine?,Imputed from partial skin and skeleton data 
Prosobonia sp./Mangaia,Prosobonia_sp._Mangaia,Cook_islands,CHARADRIIFORMES,Scolopacidae,Prosobonia,36,21.59,13.23,2.44,3.44,23.92,94.33,36.16,51.71,TRUE,"Unknown. Assumed to have similar habitat to Prosobonia leucoptera, which is mountain streams in the interior of the islands. This is very different from the only extant species in the genus (which is coastal). Depends on whether small streams are enough to classify a species as riverine?",Imputed from body mass
Psittacara labati,Aratinga_labati,Lesser_Antilles,PSITTACIFORMES,Psittacidae,Aratinga,87,26.98,22.86,14.59,26.34,15.66,158.55,69.36,128.72,FALSE,Considered likely a forest species by IUCN,Imputed from body mass
Psittacidae sp./Rota,Psittacidae_sp._Rota,Marianas,PSITTACIFORMES,Psittacidae,NA,235,40.15,30.38,16.01,27.07,21.83,229.25,85.93,112.25,FALSE,"Assumed, given there are no other aquatic Psittacidae",Imputed from body mass
Ptaiochen pau,Ptaiochen_pau,Hawaii,ANSERIFORMES,Anatidae,Ptaiochen,5237.6,76.21,41.92,23.23,22.43,72.79,303.06,84.49,155.8,FALSE,"Extinct genus so no extant species to compare against, and no published habitat data. Its a flightless species of uplands (following Olson & James 1991), so most likely a grassland species like other Hawaiian geese, but this is a guess",Imputed from body mass
Pterodroma sp./Hierro,Pterodroma_sp._Hierro,Canaries,PROCELLARIIFORMES,Procellariidae,Pterodroma,283.96,33.92,21.74,8.51,9.78,33.91,248.99,166.22,100.87,TRUE,"Assumed, as all extant species in the genus are marine.",Imputed from skeleton data
Puffinus holeae,Puffinus_holeae,Canaries,PROCELLARIIFORMES,Procellariidae,Puffinus,383.12,56.43,36.27,8.71,9.25,47.21,247.62,129.96,80.63,TRUE,"Assumed, as all extant species in the genus are marine.",Imputed from skeleton data
Puffinus olsoni,Puffinus_olsoni,Canaries,PROCELLARIIFORMES,Procellariidae,Puffinus,210,39.13,23.59,6.21,7.21,40.89,205.12,112.77,57.56,TRUE,"Assumed, as all extant species in the genus are marine.",Imputed from skeleton data
Puffinus spelaeus,Puffinus_spelaeus,New_Zealand,PROCELLARIIFORMES,Procellariidae,Puffinus,250,39.19,24.46,6.41,7.07,37.91,202.32,118.12,68.33,TRUE,"Assumed, as all extant species in the genus are marine.",Imputed from skeleton data
Rhodacanthis flaviceps,Rhodacanthis_flaviceps,Hawaii,PASSERIFORMES,Fringillidae,Extinct,47.05,20.45,14.45,9.2,13.15,22.98,91.4,21.1,54.8,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin and skeleton data 
Rhodacanthis forfex,Rhodacanthis_forfex,Hawaii,PASSERIFORMES,Fringillidae,Extinct,51.17,22.16,15.45,9.24,12.02,24.76,100.26,23.14,64.57,FALSE,"Assumed, as all other recently extinct members of the genus were forest species.",Imputed from skeleton data
Rhodacanthis litotes,Rhodacanthis_litotes,Hawaii,PASSERIFORMES,Fringillidae,Extinct,46.7,20.82,14.5,8.84,11.5,23.8,96.24,22.48,61.7,FALSE,"Assumed, as all other recently extinct members of the genus were forest species.",Imputed from skeleton data
Rhodacanthis palmeri,Rhodacanthis_palmeri,Hawaii,PASSERIFORMES,Fringillidae,Extinct,58.09,22.15,15.9,10.8,13.88,25.65,104.35,24.7,64.5,FALSE,"Assumed, as all other recently extinct members of the genus were forest species.",Imputed from partial skin and skeleton data 
Sceloglaux albifacies,Sceloglaux_albifacies,New_Zealand,STRIGIFORMES,Strigidae,Ninox,600,31.38,15.73,9.54,13.68,69.17,252,69.52,138.5,FALSE,Considered a forest/open country species by BotW and IUCN,Imputed from partial skin data
Talpanas lippa,Talpanas_lippa,Hawaii,ANSERIFORMES,Anatidae,Extinct,727.07,38.12,23.24,14.5,12.36,34.97,204.53,93.86,75.29,FALSE,Iwaniuk et al. (2009) consider it a forest species.,Imputed from skeleton data
Telespiza persecutrix,Telespiza_persecutrix,Hawaii,PASSERIFORMES,Fringillidae,Telespiza,26.4,14.09,9.55,6.45,8.68,20.92,72.96,14.58,56.85,FALSE,"No published habitat data. Two extant species, one aquatic, one not. The vast majority of Fringillidae are not aquatic, though",Imputed from skeleton data
Telespiza ypsilon,Telespiza_ypsilon,Hawaii,PASSERIFORMES,Fringillidae,Telespiza,24.1,13.25,8.96,6.16,8.29,20.13,70.38,14.17,54.8,FALSE,"No published habitat data. Two extant species, one aquatic, one not. The vast majority of Fringillidae are not aquatic, though",Imputed from skeleton data
Thambetochen chauliodous,Thambetochen_chauliodous,Hawaii,ANSERIFORMES,Anatidae,Extinct,6225.5,93.49,57.03,31.49,25.92,80.61,306.12,86.71,211.82,FALSE,"Unknown. As with other flightless Hawaiian waterfowl, it probably wasn’t an aquatic species, but difficult to be sure",Imputed from skeleton data
Thambetochen xanion,Thambetochen_xanion,Hawaii,ANSERIFORMES,Anatidae,Extinct,8425.1,95.35,59.42,32.67,28.29,84.09,373.36,115.27,199.77,FALSE,"Unknown. As with other flightless Hawaiian waterfowl, it probably wasn’t an aquatic species, but difficult to be sure",Imputed from skeleton data
Traversia lyalli,Traversia_lyalli,New_Zealand,PASSERIFORMES,Acanthisittidae,Extinct,22,15.45,8.36,3.2,3.39,21.75,46.36,5.75,27.63,FALSE,IUCN and NZ birds online say it inhabited rocky ground within dense forests,Imputed from skeleton data
Tribonyx hodgenorum,Tribonyx_hodgenorum,New_Zealand,GRUIFORMES,Rallidae,Gallinula,280,25.4,11.93,5.26,8.32,45.94,143.63,29.04,68.14,FALSE,"NZ birds online indicates it did inhabit wetlands, but also utlized forests, so not strictly aquatic",Imputed from skeleton data
Turdus sp./Canaries,Turdus_sp._Canaries,Canaries,PASSERIFORMES,Turdidae,Turdus,72.9,24.25,13.91,5.26,6.35,32.15,122.03,28.75,93.8,FALSE,"Assumed, as no extant Turdus species is aquatic",Imputed from body mass (median genus)
Turnagra capensis,Turnagra_capensis,New_Zealand,PASSERIFORMES,Oriolidae,Extinct,130,25.01,13.16,7.55,9.91,37.83,120.75,21.88,114.62,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin and skeleton data 
Turnagra tanagra,Turnagra_tanagra,New_Zealand,PASSERIFORMES,Oriolidae,Extinct,130,28.89,16.33,8.62,12.59,39.51,112,24.61,109,FALSE,Assumed a forest species by IUCN.,Imputed from partial skin and skeleton data 
Vangulifer mirandus,Vangulifer_mirandus,Hawaii,PASSERIFORMES,Fringillidae,Extinct,27.7,17.09,11.17,5.87,7.47,20.81,85.22,20.7,60.3,FALSE,"Assumed, as all other Hawaiian Honeycreepers are not aquatic species",Imputed from skeleton data
Vangulifer neophasis,Vangulifer_neophasis,Hawaii,PASSERIFORMES,Fringillidae,Extinct,30.37,18.33,12.09,6.21,7.88,21.58,88.76,21.16,63.03,FALSE,"Assumed, as all other Hawaiian Honeycreepers are not aquatic species",Imputed from skeleton data
Vini sinotoi,Vini_sinotoi,Cook_islands,PSITTACIFORMES,Psittacidae,Vini,55,12,9.1,6.59,10.16,14.5,109.8,44.17,65.6,FALSE,"Assumed, as no extant members of the genus are aquatic",Imputed from skeleton data
Vini sp./Guam,Vini_sp._Guam,Marianas,PSITTACIFORMES,Psittacidae,Vini,40,15.16,10.24,6.74,10.25,14.29,101.93,46.98,70.28,FALSE,"Assumed, as no extant members of the genus are aquatic",Imputed from body mass
Vini vidivici,Vini_vidivici,Cook_islands,PSITTACIFORMES,Psittacidae,Vini,55,12,8.94,6.5,10.04,14.5,109.8,44.52,65.6,FALSE,"Assumed, as no extant members of the genus are aquatic",Imputed from skeleton data
Viridonia sagittirostris,Hemignathus_sagittirostris,Hawaii,PASSERIFORMES,Fringillidae,Hemignathus,13.35,13.98,9.08,4.85,6,22.2,65.95,15.01,42,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin data
Xenicus longipes,Xenicus_longipes,New_Zealand,PASSERIFORMES,Acanthisittidae,Xenicus,17,15.64,8.05,3.1,2.88,25.8,56.9,5.82,23.8,FALSE,Considered a forest species by BotW and IUCN,Imputed from partial skin and skeleton data 
Xestospiza conica,Xestospiza_conica,Hawaii,PASSERIFORMES,Fringillidae,Extinct,26.52,17.75,11.7,6.16,7.7,21.24,81.86,19.1,58.38,FALSE,Very little information. Assumed not to be aquatic as only one extant Fringillidae species is,Imputed from skeleton data
Xestospiza fastiglialis,Xestospiza_fastiglialis,Hawaii,PASSERIFORMES,Fringillidae,Extinct,23.59,16.25,10.63,5.81,7.25,20.62,77.39,18.22,55.16,FALSE,Very little information. Assumed not to be aquatic as only one extant Fringillidae species is,Imputed from skeleton data
Zapornia keplerorum,Porzana_keplerorum,Hawaii,GRUIFORMES,Rallidae,Porzana,35.26,17.9,9.66,2.57,4.78,23.56,67.11,16.89,29.97,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia menehune,Porzana_menehune,Hawaii,GRUIFORMES,Rallidae,Porzana,26.16,15.16,8.54,2.31,4.18,20.11,60.21,16.65,27.41,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia nigra,Porzana_nigra,Society,GRUIFORMES,Rallidae,Porzana,60,19.1,11.69,3.09,5.73,33,116.57,25.04,47.4,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from body mass
Zapornia ralphorum,Porzana_ralphorum,Hawaii,GRUIFORMES,Rallidae,Porzana,72.49,22.45,12.3,3.19,6.04,33.02,87.68,22.3,38.23,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia rua,Porzana_rua,Cook_islands,GRUIFORMES,Rallidae,Porzana,28.17,18.42,9.33,2.53,4.74,33.02,56.39,13.85,26.67,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sandwichensis,Porzana_sandwichensis,Hawaii,GRUIFORMES,Rallidae,Porzana,34.09,19.05,10.11,2.52,4.58,27.94,68.58,17.12,13.97,FALSE,Considered a forest species by BotW and IUCN,Imputed from skeleton data
Zapornia severnsi,Porzana_severnsi,Hawaii,GRUIFORMES,Rallidae,Porzana,81.05,24.55,13.05,3.34,6.47,35.31,93.14,21.56,40.21,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./Aguijan,Porzana_sp._Aguijan,Marianas,GRUIFORMES,Rallidae,Porzana,35,18.35,10.09,2.61,4.75,26.69,74.22,18.98,31.94,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from body mass
Zapornia sp./Guam,Porzana_sp._Guam,Marianas,GRUIFORMES,Rallidae,Porzana,35,18.34,10.1,2.61,4.75,26.6,74.08,19.02,31.92,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from body mass
Zapornia sp./HawaiiLarge,Porzana_sp._HawaiiLarge,Hawaii,GRUIFORMES,Rallidae,Porzana,76.41,23.99,13.12,3.33,6.29,33.95,95.5,23.16,41.58,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./HawaiiSmall,Porzana_sp._HawaiiSmall,Hawaii,GRUIFORMES,Rallidae,Porzana,45.95,19.89,11.04,2.82,5.17,28.43,80.07,20.53,34.37,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./KauaiGreat,Porzana_sp._KauaiGreat,Hawaii,GRUIFORMES,Rallidae,Porzana,73.54,23.46,12.85,3.26,6.14,34.11,93.85,22.73,41.17,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./KauaiMedium,Porzana_sp._KauaiMedium,Hawaii,GRUIFORMES,Rallidae,Porzana,57.3,21.16,11.67,3.01,5.66,29.38,85.13,21.64,37,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./Mangaia,Porzana_sp._Mangaia,Cook_islands,GRUIFORMES,Rallidae,Porzana,47.6,19.21,10.79,2.83,5.22,27.37,79.76,21.78,33.61,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./Maui,Porzana_sp._Maui,Hawaii,GRUIFORMES,Rallidae,Porzana,49.48,20.13,11.12,2.9,5.38,27.64,80.44,20.58,34.8,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zapornia sp./Rota,Porzana_sp._Rota,Marianas,GRUIFORMES,Rallidae,Porzana,35,18.36,10.12,2.61,4.76,26.75,74.16,18.94,31.93,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from body mass
Zapornia sp./Tinian,Porzana_sp._Tinian,Marianas,GRUIFORMES,Rallidae,Porzana,35,18.4,10.14,2.62,4.77,26.55,74.09,19.05,31.95,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from body mass (median genus)
Zapornia ziegleri,Porzana_ziegleri,Hawaii,GRUIFORMES,Rallidae,Porzana,49.4,21.26,11.44,2.49,4.54,56.23,85.12,17.26,40.58,TRUE,"Very little information. Perhaps aquatic as 80% of extant species are, but not necessarily the case, given other extinct Zapornia species are not aquatic. Could easily be the case that all these others are forest-adapted island species too. Or some of them are. Or none of them are. On the basis that it is likely most are not aquatic, we have put non-aquatic for all.",Imputed from skeleton data
Zosteropidae sp./Guam,Zosteropidae_large_sp.,Marianas,PASSERIFORMES,Zosteropidae,NA,11.2,14.4,8.29,3.22,3.57,17.8,61.34,10.26,47.23,FALSE,Assumed as no extant Zosterops species are aquatic,Imputed from body mass (median genus)
